,year,state,county_fips,county_name,democrat_votes,republican_votes,total_votes,population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,0-50K,50K-100K,100K and above,Male: 18-24,Male: 25-49,Male: 50-64,Male: 65 and above,Female: 18-24,Female: 25-49,Female: 50-64,Female: 65 and above,Male: Some early,Male: High school,Male: Some college or Associate's degree,Male: Bachelor's degree,Male: Master's degree or higher,Female: Some early,Female: High school,Female: Some college or Associate's degree,Female: Bachelor's degree,Female: Master's degree or higher,White alone_log,Black or African American alone_log,American Indian and Alaska Native alone_log,Asian alone_log,Native Hawaiian and Other Pacific Islander alone_log,0-50K_log,50K-100K_log,100K and above_log,Male: 18-24_log,Male: 25-49_log,Male: 50-64_log,Male: 65 and above_log,Female: 18-24_log,Female: 25-49_log,Female: 50-64_log,Female: 65 and above_log,Male: Some early_log,Male: High school_log,Male: Some college or Associate's degree_log,Male: Bachelor's degree_log,Male: Master's degree or higher_log,Female: Some early_log,Female: High school_log,Female: Some college or Associate's degree_log,Female: Bachelor's degree_log,Female: Master's degree or higher_log
0,2000,VIRGINIA,51001,ACCOMACK,5092,6352,11444,38305.0,394.0,84.0,32.0,44.0,127.0,1702.0,666.0,532.0,578.0,655.0,545.0,658.0,364.0,691.0,542.0,771.0,440.0,911.0,531.0,224.0,326.0,318.0,928.0,614.0,254.0,302.0,5.976350909297934,4.430816798843313,3.4657359027997265,3.784189633918261,4.844187086458591,7.43955930913332,6.501289670540389,6.2766434893416445,6.359573868672378,6.484635235635252,6.300785794663244,6.489204931325317,5.8971538676367405,6.53813982376767,6.295266001439646,6.647688373563329,6.0867747269123065,6.814542897259958,6.274762021241939,5.41164605185504,5.786897381366708,5.762051382780177,6.833031732786201,6.419994928147142,5.537334267018537,5.71042701737487
1,2000,VIRGINIA,51003,ALBEMARLE,16255,18291,34546,79236.0,509.0,328.0,140.0,223.0,43.0,2158.0,1278.0,1329.0,825.0,999.0,693.0,973.0,814.0,1025.0,710.0,1148.0,681.0,1066.0,755.0,568.0,933.0,552.0,1062.0,1031.0,599.0,932.0,6.2324480165505225,5.793013608384144,4.941642422609304,5.407171771460119,3.7612001156935615,7.67693714581808,7.15305163493748,7.192182058713246,6.715383386334681,6.906754778648554,6.541029999189903,6.880384082186005,6.70196036600254,6.932447891572509,6.565264970035361,7.045776576879511,6.523562306149512,6.97166860472579,6.626717749249025,6.342121418721152,6.838405200847344,6.313548046277095,6.967909201801884,6.93828448401696,6.395261598115449,6.837332814685591
2,2000,VIRGINIA,51005,ALLEGHANY,2214,2808,5022,12926.0,75.0,113.0,5.0,70.0,127.0,1012.0,447.0,284.0,213.0,515.0,298.0,432.0,263.0,415.0,318.0,528.0,265.0,468.0,346.0,133.0,119.0,199.0,520.0,381.0,154.0,278.0,4.31748811353631,4.727387818712341,1.6094379124341005,4.248495242049359,4.844187086458591,6.919683849847411,6.102558594613569,5.648974238161206,5.3612921657094255,6.244166900663736,5.697093486505405,6.068425588244111,5.572154032177765,6.028278520230698,5.762051382780177,6.269096283706261,5.579729825986222,6.148468295917647,5.846438775057725,4.890349128221754,4.77912349311153,5.293304824724492,6.253828811575473,5.942799375126701,5.0369526024136295,5.627621113690637
3,2000,VIRGINIA,51007,AMELIA,1754,2947,4701,11400.0,152.0,212.0,38.0,53.0,28.0,978.0,515.0,388.0,246.0,445.0,351.0,448.0,309.0,524.0,268.0,406.0,329.0,559.0,357.0,145.0,179.0,148.0,581.0,424.0,138.0,352.0,5.0238805208462765,5.356586274672012,3.6375861597263857,3.970291913552122,3.332204510175204,6.885509670034818,6.244166900663736,5.961005339623274,5.5053315359323625,6.09807428216624,5.860786223465865,6.104793232414985,5.733341276897746,6.261491684321042,5.5909869805108565,6.0063531596017325,5.796057750765372,6.326149473155099,5.877735781779639,4.976733742420574,5.187385805840755,4.997212273764115,6.364750756851911,6.049733455231958,4.927253685157205,5.863631175598097
4,2000,VIRGINIA,51009,AMHERST,4812,6660,11472,31894.0,323.0,162.0,85.0,51.0,127.0,1406.0,635.0,461.0,367.0,718.0,451.0,504.0,576.0,493.0,413.0,660.0,410.0,812.0,547.0,167.0,215.0,536.0,804.0,544.0,214.0,266.0,5.777652323222656,5.087596335232384,4.442651256490317,3.9318256327243257,4.844187086458591,7.24850407237061,6.453624998892692,6.133398042996649,5.905361848054571,6.576469569048224,6.111467339502679,6.222576268071369,6.356107660695892,6.20050917404269,6.023447592961033,6.492239835020471,6.016157159698354,6.699500340161678,6.304448802421981,5.117993812416755,5.3706380281276624,6.284134161070802,6.689599269178967,6.298949246855942,5.365976015021851,5.583496308781699
5,2000,VIRGINIA,51011,APPOMATTOX,2132,3654,5786,13705.0,89.0,116.0,127.0,36.0,127.0,934.0,563.0,333.0,326.0,453.0,411.0,420.0,242.0,505.0,316.0,508.0,221.0,587.0,453.0,93.0,154.0,234.0,577.0,423.0,147.0,159.0,4.48863636973214,4.7535901911063645,4.844187086458591,3.58351893845611,4.844187086458591,6.839476438228843,6.333279628139691,5.808142489980444,5.786897381366708,6.115892125483034,6.018593214496234,6.040254711277414,5.488937726156687,6.22455842927536,5.755742213586912,6.230481447578482,5.3981627015177525,6.375024819828097,6.115892125483034,4.532599493153256,5.0369526024136295,5.455321115357702,6.3578422665081,6.0473721790462776,4.990432586778736,5.068904202220232
6,2000,VIRGINIA,51013,ARLINGTON,50260,28555,78815,189453.0,1100.0,372.0,196.0,475.0,106.0,2741.0,2110.0,2465.0,849.0,1207.0,856.0,1120.0,838.0,994.0,857.0,1208.0,1010.0,1331.0,1148.0,966.0,1859.0,986.0,1340.0,1262.0,972.0,1576.0,7.003065458786462,5.918893854273146,5.278114659230517,6.163314804034641,4.663439094112067,7.916078096302786,7.654443226470112,7.80994708647679,6.744059186311348,7.095893221097532,6.752270376141742,7.02108396428914,6.731018100482083,6.901737206656574,6.75343791859778,7.0967213784947605,6.917705609835305,7.193685818395112,7.045776576879511,6.873163834212518,7.527793987721444,6.893656354602635,7.200424892944957,7.140453043101158,6.879355804460439,7.362645270417825
7,2000,VIRGINIA,51015,AUGUSTA,6643,17744,24387,65615.0,323.0,100.0,83.0,120.0,49.0,2137.0,1161.0,804.0,458.0,898.0,792.0,963.0,474.0,710.0,778.0,901.0,543.0,1357.0,832.0,360.0,364.0,522.0,1175.0,952.0,409.0,428.0,5.777652323222656,4.605170185988092,4.418840607796598,4.787491742782046,3.8918202981106265,7.667158255319148,7.057036981697891,6.689599269178967,6.126869184114185,6.8001700683022,6.674561391814426,6.870053411798126,6.161207321695077,6.565264970035361,6.656726524178391,6.803505257608338,6.297109319933935,7.213031659834869,6.723832440821209,5.886104031450156,5.8971538676367405,6.257667587882639,7.069023426578259,6.858565034791365,6.013715156042802,6.059123195581797
8,2000,VIRGINIA,51017,BATH,822,1311,2133,5048.0,137.0,124.0,127.0,58.0,127.0,576.0,438.0,352.0,307.0,436.0,336.0,431.0,308.0,444.0,337.0,406.0,157.0,388.0,302.0,73.0,326.0,400.0,468.0,257.0,97.0,331.0,4.919980925828125,4.820281565605037,4.844187086458591,4.060443010546419,4.844187086458591,6.356107660695892,6.082218910376446,5.863631175598097,5.726847747587197,6.077642243349034,5.817111159963204,6.066108090103747,5.730099782973574,6.095824562432225,5.820082930352362,6.0063531596017325,5.056245805348308,5.961005339623274,5.71042701737487,4.290459441148391,5.786897381366708,5.991464547107982,6.148468295917647,5.54907608489522,4.574710978503383,5.802118375377063
9,2000,VIRGINIA,51019,BEDFORD,8160,17224,25384,60371.0,176.0,201.0,68.0,79.0,15.0,1968.0,1053.0,855.0,412.0,874.0,682.0,846.0,452.0,701.0,641.0,953.0,423.0,1189.0,856.0,387.0,443.0,375.0,1102.0,905.0,346.0,415.0,5.170483995038151,5.303304908059076,4.219507705176107,4.3694478524670215,2.70805020110221,7.584773077612199,6.959398512133975,6.75110146893676,6.021023349349527,6.773080375655535,6.525029657843462,6.740519359606223,6.113682179832232,6.55250788703459,6.46302945692067,6.859614903654202,6.0473721790462776,7.080867896690782,6.752270376141742,5.958424693029782,6.093569770045136,5.926926025970411,7.004881989712859,6.807934943699926,5.846438775057725,6.028278520230698
10,2000,VIRGINIA,51021,BLAND,851,1759,2610,6871.0,130.0,59.0,127.0,111.0,127.0,742.0,295.0,189.0,209.0,416.0,326.0,304.0,213.0,377.0,297.0,344.0,159.0,369.0,305.0,113.0,209.0,266.0,486.0,293.0,71.0,135.0,4.867534450455582,4.07753744390572,4.844187086458591,4.709530201312334,4.844187086458591,6.60934924316738,5.68697535633982,5.241747015059643,5.342334251964811,6.030685260261263,5.786897381366708,5.717027701406222,5.3612921657094255,5.932245187448011,5.6937321388027,5.840641657373398,5.068904202220232,5.910796644040527,5.720311776607412,4.727387818712341,5.342334251964811,5.583496308781699,6.186208623900494,5.680172609017068,4.262679877041316,4.90527477843843
11,2000,VIRGINIA,51023,BOTETOURT,4627,8867,13494,30496.0,100.0,116.0,46.0,71.0,127.0,1168.0,771.0,646.0,267.0,414.0,438.0,608.0,282.0,442.0,492.0,681.0,328.0,664.0,621.0,259.0,249.0,227.0,747.0,640.0,255.0,280.0,4.605170185988092,4.7535901911063645,3.828641396489095,4.262679877041316,4.844187086458591,7.0630481633881725,6.647688373563329,6.470799503782602,5.58724865840025,6.025865973825314,6.082218910376446,6.410174881966167,5.641907070938114,6.091309882077698,6.198478716492308,6.523562306149512,5.793013608384144,6.498282149476434,6.431331081933479,5.556828061699537,5.517452896464707,5.424950017481403,6.616065185132817,6.461468176353717,5.541263545158426,5.634789603169249
12,2000,VIRGINIA,51025,BRUNSWICK,3387,2561,5948,18419.0,30.0,114.0,127.0,35.0,127.0,1056.0,457.0,190.0,340.0,381.0,310.0,427.0,379.0,270.0,326.0,487.0,351.0,787.0,400.0,134.0,111.0,317.0,658.0,425.0,147.0,124.0,3.4011973816621555,4.736198448394496,4.844187086458591,3.555348061489413,4.844187086458591,6.962243464266207,6.124683390894205,5.247024072160486,5.828945617610208,5.942799375126701,5.736572297479192,6.056784013228625,5.937536205082426,5.598421958998375,5.786897381366708,6.18826412308259,5.860786223465865,6.668228248417403,5.991464547107982,4.897839799950911,4.709530201312334,5.75890177387728,6.489204931325317,6.052089168924417,4.990432586778736,4.820281565605037
